;Unnamed: 0;League;Home;Away;INC;Round;Date;Time;H_Score;A_Score;HT_H_Score;HT_A_Score;WIN;H_BET;X_BET;A_BET;WIN_BET;OVER_2.5;OVER_3.5;H_15;A_15;H_45_50;A_45_50;H_90;A_90;H_Missing_Players;A_Missing_Players;Missing_Players;H_Ball_Possession;A_Ball_Possession;H_Goal_Attempts;A_Goal_Attempts;H_Shots_on_Goal;A_Shots_on_Goal;H_Attacks;A_Attacks;H_Dangerous_Attacks;A_Dangerous_Attacks;H_Shots_off_Goal;A_Shots_off_Goal;H_Blocked_Shots;A_Blocked_Shots;H_Free_Kicks;A_Free_Kicks;H_Corner_Kicks;A_Corner_Kicks;H_Offsides;A_Offsides;H_Throw_in;A_Throw_in;H_Goalkeeper_Saves;A_Goalkeeper_Saves;H_Fouls;A_Fouls;H_Yellow_Cards;A_Yellow_Cards;Game Link;no_match_home;no_match_away;goal_diff;goal_diff_HT;winner;h_form;a_form;Shots_on_Goal_avg_H;Shots_on_Goal_avg_A;Fouls_avg_H;Fouls_avg_A;Yellow_Cards_avg_H;Yellow_Cards_avg_A;Ball_Possession_avg_H;Ball_Possession_avg_A;Corner_Kicks_avg_H;Corner_Kicks_avg_A;Offsides_avg_H;Offsides_avg_A
62648;62648;pko-bp-ekstraklasa;18;6;"[""53' Yellow_Home - Niewulis A."", ""90+4' Yellow_Away - Hateley T."", ""90+5' Goal_Home - Wdowiak M.""]";18;2021-12-10;20:30;1.0;0.0;0.0;0.0;Home;1.67;3.85;5.5;1.67;False;False;False;False;False;False;True;False;3;0;3.0;0.55;0.45;12.0;9.0;4.0;5.0;110.0;98.0;78.0;53.0;8.0;4.0;;;;;5.0;3.0;1.0;3.0;;;5.0;3.0;11.0;15.0;1.0;1.0;https://www.flashscore.com/match/xf9bTARk/#/match-summary/match-summary;17;17;1.0;0.0;18;4;-3;6.125;3.6875;13.0;12.0;2.25;;0.48625000000000007;0.4868750000000001;5.6875;4.1875;1.6875;1.625
62647;62647;pko-bp-ekstraklasa;13;2;"[""14' Goal_Home - Penalty Angielski K.(Penalty )"", ""22' Yellow_Home - Maurides"", ""24' Yellow_Home - Kaput M."", ""28' Goal_Home - Maurides(Abramowicz D.)"", ""76' Yellow_Home - Angielski K."", ""79' Goal_Away - Penalty Ishak M.(Penalty )"", ""86' Yellow_Away - Douglas B.""]";18;2021-12-11;15:00;2.0;1.0;2.0;0.0;Home;4.5;3.6;1.88;4.5;True;False;True;False;False;False;False;False;1;2;-1.0;0.47;0.53;8.0;9.0;4.0;5.0;65.0;66.0;26.0;64.0;4.0;4.0;;;;;0.0;6.0;1.0;0.0;;;4.0;2.0;14.0;23.0;3.0;1.0;https://www.flashscore.com/match/b3AfUjCq/#/match-summary/match-summary;17;18;1.0;2.0;13;6;9;4.8125;7.0588235294117645;12.3125;12.117647058823529;2.125;;0.481875;0.5494117647058824;6.5;6.529411764705882;1.625;1.8235294117647058
62646;62646;pko-bp-ekstraklasa;11;9;"[""18' Yellow_Home - Żubrowski J."", ""22' Red_Card_Away - Frydrych M."", ""28' Yellow_Home - Pantic A."", ""42' Yellow_Away - Zhukov G."", ""45' Goal_Away - Gruszkowski K."", ""50' Yellow_Home - Wójcicki J."", ""58' Yellow_Away - Plewka P."", ""77' Goal_Home - Zivec S.(Podlinski K.)"", ""82' Yellow_Home - Dudziński D."", ""86' Goal_Home - Szysz P.(Podlinski K.)"", ""89' Yellow_Away - El Mahdioui A."", ""90+2' Yellow_Home - Poręba L.""]";18;2021-12-11;17:30;2.0;1.0;0.0;1.0;Home;2.67;3.4;2.75;2.67;True;False;False;False;False;True;False;False;4;2;2.0;0.53;0.47;26.0;16.0;7.0;8.0;99.0;82.0;85.0;82.0;19.0;8.0;;;;;5.0;5.0;1.0;1.0;;;7.0;5.0;10.0;16.0;5.0;3.0;https://www.flashscore.com/match/42hMnaSA/#/match-summary/match-summary;17;18;1.0;-1.0;11;-4;-5;3.8125;4.0;14.4375;13.176470588235293;2.5625;;0.48749999999999993;0.5523529411764706;5.3125;5.176470588235294;1.0625;2.4705882352941178
62645;62645;pko-bp-ekstraklasa;16;4;"[""09' Yellow_Away - Romanczuk T."", ""34' Goal_Away - Romanczuk T.(Puerto I.)"", ""44' Goal_Home - Penalty Paixao F.(Penalty )"", ""47' Yellow_Home - Pietrzak R."", ""53' Yellow_Home - Kubicki J."", ""54' Goal_Away - Bida B.(Prikryl T.)"", ""75' Yellow_Away - Prikryl T."", ""89' Yellow_Home - Kałuziński J.""]";18;2021-12-11;20:00;1.0;2.0;1.0;1.0;Away;2.07;3.55;3.75;3.75;True;False;False;False;False;False;False;False;0;2;-2.0;0.64;0.36;15.0;13.0;7.0;4.0;139.0;102.0;107.0;64.0;8.0;9.0;;;;;8.0;5.0;1.0;3.0;;;2.0;6.0;15.0;11.0;3.0;2.0;https://www.flashscore.com/match/rgiQoJsH/#/match-summary/match-summary;18;18;-1.0;0.0;4;5;0;5.411764705882353;4.764705882352941;15.058823529411764;15.647058823529411;2.1176470588235294;2.411764705882353;0.54;0.4870588235294118;7.0588235294117645;4.823529411764706;1.4705882352941178;2.2941176470588234
62642;62642;pko-bp-ekstraklasa;10;8;"[""04' Goal_Away - Penalty Kowalczyk S.(Penalty )"", ""28' Yellow_Home - Janicki R."", ""32' Yellow_Home - Gryszkiewicz A."", ""39' Yellow_Away - Kozlowski K."", ""41' Yellow_Away - Triantafyllopoulos K."", ""43' Own_Home - Mata L.()"", ""71' Goal_Away - Grosicki K.(Zahovic L.)"", ""77' Yellow_Away - Dąbrowski D."", ""81' Yellow_Home - Podolski L."", ""83' Yellow_Away - Zahovic L."", ""88' Goal_Home - Gryszkiewicz A.(Jimenez J.)""]";18;2021-12-12;17:30;1.0;2.0;0.0;1.0;Away;3.25;3.25;2.4;2.4;True;False;False;True;False;False;False;False;3;3;0.0;0.53;0.47;16.0;7.0;4.0;2.0;129.0;79.0;93.0;55.0;12.0;5.0;;;;;6.0;3.0;2.0;3.0;;;0.0;2.0;13.0;15.0;3.0;4.0;https://www.flashscore.com/match/AugImuD4/#/match-summary/match-summary;17;18;-1.0;-1.0;8;1;10;4.9375;5.529411764705882;13.375;11.941176470588236;1.8125;;0.49;0.5517647058823529;4.6875;6.0;1.8125;1.8823529411764706
62644;62644;pko-bp-ekstraklasa;15;3;"[""24' Goal_Away - Śpiączka B.(Eyenga-Lokilo J.)"", ""33' Yellow_Away - Śpiączka B."", ""41' Goal_Away - Śpiączka B.(Gaska D.)"", ""50' Var_Home"", ""64' Yellow_Away - Serrano A."", ""67' Yellow_Home - Luis Rocha"", ""68' Yellow_Away - Szcześniak K."", ""69' Yellow_Home - Rasmussen M.""]";18;2021-12-12;12:30;0.0;2.0;0.0;2.0;Away;1.7;3.85;5.5;5.5;False;False;False;False;False;False;False;False;1;1;0.0;0.48;0.52;12.0;11.0;5.0;6.0;94.0;116.0;77.0;79.0;7.0;5.0;;;;;2.0;5.0;1.0;1.0;;;4.0;5.0;21.0;10.0;2.0;3.0;https://www.flashscore.com/match/ILCGAmjn/#/match-summary/match-summary;18;18;-2.0;-2.0;3;-3;-6;4.823529411764706;2.9411764705882355;14.647058823529411;14.117647058823529;2.235294117647059;;0.4894117647058824;0.46117647058823524;5.0588235294117645;3.8823529411764706;2.235294117647059;1.4705882352941178
62643;62643;pko-bp-ekstraklasa;17;5;"[""14' Yellow_Home - Szwoch M."", ""30' Yellow_Away - Johansson M."", ""36' Goal_Home - Szwoch M.(Rasak D.)"", ""56' Yellow_Away - Slisz B."", ""58' Yellow_Home - Wolski R."", ""68' Yellow_Home - Kamiński K."", ""71' Yellow_Away - Pekhart T."", ""90+1' Yellow_Away - Hołownia M.""]";18;2021-12-12;15:00;1.0;0.0;1.0;0.0;Home;3.0;3.25;2.55;3.0;False;False;False;False;False;False;False;False;0;5;-5.0;0.42;0.58;11.0;12.0;3.0;6.0;96.0;118.0;57.0;76.0;8.0;6.0;;;;;2.0;5.0;2.0;3.0;;;6.0;2.0;18.0;15.0;3.0;4.0;https://www.flashscore.com/match/lhwmzs02/#/match-summary/match-summary;18;16;1.0;1.0;17;2;-6;4.176470588235294;4.533333333333333;16.705882352941178;13.4;3.0;2.7333333333333334;0.49470588235294116;0.5660000000000001;4.176470588235294;7.8;1.2941176470588236;1.2
62641;62641;pko-bp-ekstraklasa;14;7;"[""02' Yellow_Away - Golla W."", ""24' Goal_Home - Zrelak A.(Matuszewski K.)"", ""54' Goal_Home - Matuszewski K.(Zrelak A.)"", ""59' Yellow_Home - Matuszewski K."", ""69' Yellow_Home - Trałka Ł."", ""80' Goal_Away - Lewkot Sz.(Garcia V.)"", ""85' Yellow_Home - Czyżycki M."", ""90' Yellow_Home - Ławniczak A."", ""90+7' Yellow_Home - Grzesik J."", ""90+8' Yellow_Home - Szulczek D.(Poza boiskiem)""]";18;2021-12-13;18:00;2.0;1.0;1.0;0.0;Home;2.95;3.22;2.62;2.95;True;False;False;False;False;False;False;False;5;5;0.0;0.27;0.73;10.0;12.0;5.0;3.0;79.0;132.0;33.0;72.0;5.0;9.0;;;;;1.0;4.0;2.0;1.0;;;2.0;3.0;22.0;14.0;5.0;1.0;https://www.flashscore.com/match/pKC6Rld2/#/match-summary/match-summary;18;18;1.0;1.0;14;-6;0;3.176470588235294;4.588235294117647;14.470588235294118;13.352941176470589;;1.8235294117647058;0.438235294117647;0.4711764705882353;5.117647058823529;4.470588235294118;1.3529411764705883;1.8823529411764706
62640;62640;pko-bp-ekstraklasa;13;6;"[""10' Yellow_Away - Vida K."", ""26' Goal_Away - Chrapek M.(Lipski P.)"", ""40' Goal_Home - Leandro(Angielski K.)"", ""42' Goal_Away - Sokołowski P.(Kądzior D.)"", ""50' Goal_Home - Leandro"", ""80' Yellow_Home - Jakubik D."", ""85' Yellow_Away - Kądzior D.""]";17;2021-12-14;18:45;2.0;2.0;1.0;2.0;Draw;2.2;3.3;3.65;3.3;True;True;False;False;True;False;False;False;1;2;-1.0;0.54;0.46;14.0;9.0;7.0;2.0;95.0;92.0;80.0;57.0;7.0;7.0;;;;;7.0;4.0;1.0;1.0;;;0.0;5.0;18.0;16.0;1.0;2.0;https://www.flashscore.com/match/nRLeWwrU/#/match-summary/match-summary;18;18;0.0;-1.0;0;5;-2;4.764705882352941;3.764705882352941;12.411764705882353;12.176470588235293;2.176470588235294;;0.48117647058823526;0.4847058823529413;6.117647058823529;4.117647058823529;1.588235294117647;1.7058823529411764
62639;62639;pko-bp-ekstraklasa;18;10;"[""16' Goal_Home - Wdowiak M.(Papanikolaou G.)"", ""22' Yellow_Home - Lederman B."", ""67' Goal_Away - Jimenez J.(Kubica K.)"", ""71' Yellow_Home - Petrasek T."", ""84' Goal_Away - Cholewiak M.(Wiśniewski P.)""]";5;2021-12-15;18:00;1.0;2.0;1.0;0.0;Away;1.9;3.72;4.25;4.25;True;False;False;False;False;False;False;False;4;5;-1.0;0.52;0.48;9.0;13.0;5.0;5.0;110.0;110.0;68.0;62.0;4.0;8.0;;;;;7.0;3.0;1.0;2.0;;;3.0;4.0;18.0;17.0;2.0;0.0;https://www.flashscore.com/match/8t2mZQuL/#/match-summary/match-summary;18;18;-1.0;1.0;10;0;1;6.0;4.882352941176471;12.882352941176471;13.352941176470589;2.176470588235294;1.8823529411764706;0.4900000000000001;0.49235294117647055;5.647058823529412;4.764705882352941;1.6470588235294117;1.8235294117647058
